,est,y_sample,date
3540,172.98054363937538,172.7049,2018-02-28
3541,172.78791083200926,169.6797,2018-03-01
3542,170.32235781487626,170.85299999999998,2018-03-02
3543,170.9273767471081,171.4444,2018-03-05
3544,171.3974008830285,171.299,2018-03-06
3545,171.3073694973939,169.7088,2018-03-07
3546,170.04718680841827,171.5608,2018-03-08
3547,171.46865561644913,174.5083,2018-03-09
3548,174.11825395417617,176.1954,2018-03-12
3549,175.9254838136711,174.4987,2018-03-13
3550,174.68052784978835,173.0152,2018-03-14
3551,173.3728959174857,173.2188,2018-03-15
3552,173.32932035402732,172.6079,2018-03-16
3553,172.70855061160302,169.9706,2018-03-19
3554,170.551527199815,169.9124,2018-03-20
3555,170.140156065801,166.0631,2018-03-21
3556,166.8573001985794,163.7167,2018-03-22
3557,164.37900655932435,159.9256,2018-03-23
3558,160.71110843926368,167.5175,2018-03-26
3559,167.02915092551436,163.2222,2018-03-27
3560,163.42059355279642,161.4188,2018-03-28
3561,162.03257669296036,162.6792,2018-03-29
3562,162.67782727915613,163.2707,2018-04-03
3563,163.20837697856808,166.3928,2018-04-04
3564,166.0842503891227,167.5466,2018-04-05
3565,167.42821871133398,163.261,2018-04-06
3566,163.99247460811256,164.8802,2018-04-09
3567,165.0714805492608,167.9829,2018-04-10
3568,167.66635450812018,167.1976,2018-04-11
3569,167.23070095459622,168.8459,2018-04-12
3570,168.7339485469754,169.418,2018-04-13
3571,169.36868529126158,170.4748,2018-04-16
3572,170.36881467692095,172.8212,2018-04-17
3573,172.568243542297,172.4334,2018-04-18
3574,172.4405030925431,167.5466,2018-04-19
3575,168.58207860644958,160.6819,2018-04-20
3576,162.0760013664862,160.2165,2018-04-23
3577,160.82374835499266,157.9864,2018-04-24
3578,158.47568505363438,158.6748,2018-04-25
3579,158.74302813259592,159.2275,2018-04-26
3580,159.15625268666258,157.3852,2018-04-27
3581,157.69496551493057,160.2359,2018-04-30
3582,160.0694642280541,163.9591,2018-05-01
3583,163.4813137669257,171.202,2018-05-02
3584,170.45815291283637,171.5123,2018-05-03
3585,171.3782182004435,178.2413,2018-05-04
3586,177.70496481404882,180.3938,2018-05-08
3587,180.1572697654511,181.66400000000002,2018-05-09
3588,181.45491936336774,184.2625,2018-05-10
3589,183.99014414798447,183.5644,2018-05-11
3590,183.6034116867675,183.1361,2018-05-14
3591,183.25717714594845,181.4717,2018-05-15
3592,181.84474266227969,183.1653,2018-05-16
3593,183.135970300066,182.007,2018-05-17
3594,182.101827287113,181.3452,2018-05-18
3595,181.53901694663202,182.63,2018-05-21
3596,182.55418044689355,182.1725,2018-05-22
3597,182.174238186451,183.3405,2018-05-23
3598,183.24739257905145,183.1361,2018-05-24
3599,183.14622378915868,183.5547,2018-05-25
3600,183.5278730434141,182.8928,2018-05-29
3601,182.98121848053074,182.5034,2018-05-30
3602,182.61816025744008,181.8902,2018-05-31
3603,182.0168610788608,185.1704,2018-06-01
3604,184.90984153385068,186.7181,2018-06-04
3605,186.55320826694603,188.1586,2018-06-05
3606,187.99790104238247,188.8108,2018-06-06
3607,188.74732779061634,188.3046,2018-06-07
3608,188.3644640893894,186.5915,2018-06-08
3609,186.9821884546874,186.13400000000001,2018-06-11
3610,186.35105152452977,187.1561,2018-06-12
3611,187.0860683547275,185.6182,2018-06-13
3612,185.82374943884284,185.7155,2018-06-14
3613,185.83307957860197,183.8077,2018-06-15
3614,184.18759884764188,183.7104,2018-06-18
3615,183.87413733784763,180.7417,2018-06-19
3616,181.3591528605371,181.5301,2018-06-20
3617,181.67088877533445,180.5178,2018-06-21
3618,180.64609359724005,179.9922,2018-06-22
3619,180.15175267470565,177.3155,2018-06-25
3620,177.901370905794,179.5153,2018-06-26
3621,179.5472441744372,179.2524,2018-06-27
3622,179.25024106513868,180.5567,2018-06-28
3623,180.44530675384408,180.1771,2018-06-29
3624,180.18319299373573,182.192,2018-07-02
3625,182.03235974851125,179.0188,2018-07-03
3626,179.43953079966957,180.4594,2018-07-05
3627,180.53320942632888,182.9609,2018-07-06
3628,182.67674596511682,185.5014,2018-07-09
3629,185.17166827130953,185.2775,2018-07-10
3630,185.26605535445282,182.8733,2018-07-11
3631,183.38519770461886,185.9394,2018-07-12
3632,185.8008112524086,186.2314,2018-07-13
3633,186.17655268940925,185.8226,2018-07-16
3634,185.8791355201261,186.3482,2018-07-17
3635,186.32909224656342,185.3262,2018-07-18
3636,185.47100272716034,186.7667,2018-07-19
3637,186.70435098315028,186.3384,2018-07-20
3638,186.32783548769783,186.5039,2018-07-23
3639,186.5205851782279,187.8569,2018-07-24
3640,187.74859761225824,189.6284,2018-07-25
3641,189.4007541914992,189.0346,2018-07-26
3642,189.03278863446587,185.8907,2018-07-27
3643,186.5777745237479,184.8492,2018-07-30
3644,185.2969442188692,185.2191,2018-07-31
3645,185.24658034123894,196.1304,2018-08-01
3646,195.26365361644852,201.8634,2018-08-02
3647,201.0271426121596,202.4474,2018-08-03
3648,202.32729563162192,203.4986,2018-08-06
3649,203.39454694580994,201.5909,2018-08-07
3650,201.86552627293918,201.7271,2018-08-08
3651,201.88712032927583,203.3137,2018-08-09
3652,203.18651320998967,202.7102,2018-08-10
3653,202.7071989631873,204.0191,2018-08-13
3654,203.9238685385599,204.8787,2018-08-14
3655,204.75446285791946,205.3573,2018-08-15
3656,205.28282157202116,208.3658,2018-08-16
3657,208.12680949806227,212.5268,2018-08-17
3658,211.97662292495832,210.4561,2018-08-20
3659,210.55639267106045,210.0458,2018-08-21
3660,210.28600736206147,210.0556,2018-08-22
3661,210.08775551838508,210.4854,2018-08-23
3662,210.45138705313974,211.1398,2018-08-24
3663,211.05475538345374,212.8785,2018-08-27
3664,212.70347820352106,214.5976,2018-08-28
3665,214.39392092721945,217.8014,2018-08-29
3666,217.4787156442921,219.8038,2018-08-30
3667,219.5295802059616,222.3434,2018-08-31
3668,222.02300090193268,223.0565,2018-09-04
3669,223.00452160680067,221.6011,2018-09-05
3670,221.81581244512435,217.9186,2018-09-06
3671,218.77968019688686,216.1604,2018-09-07
3672,216.72070377573306,213.2594,2018-09-10
3673,213.86189748037035,218.6512,2018-09-11
3674,218.28644722986525,215.9358,2018-09-12
3675,216.0454049583943,221.1517,2018-09-13
3676,220.8537570535949,218.6414,2018-09-14
3677,218.68168843549702,212.8199,2018-09-17
3678,214.21832036549927,213.1715,2018-09-18
3679,213.62605368537152,213.2985,2018-09-19
